+----------------------------------+-------------+-----------------+
|            Algorithm             | Precision@5 |      NDCG@5     |
|    *(log(#20()),/(1(),#38()))    |    0.104    | 0.0754341269637 |
|  /(sqrt(#20()),+(#36(),#38()))   |    0.128    | 0.0755694045162 |
|    /(+(1(),#36()),exp(#22()))    |    0.096    | 0.0755795173563 |
|    /(/(1(),#20()),exp(#22()))    |    0.128    | 0.0757497183949 |
|    /(exp(1()),+(#38(),#22()))    |    0.112    |  0.075775542554 |
| /(/(#36(),#38()),+(#20(),#38())) |    0.112    |  0.076029696422 |
|    /(+(1(),#20()),log(#38()))    |    0.112    | 0.0760333903792 |
| /(/(#36(),#20()),+(#20(),#22())) |    0.128    | 0.0761040060671 |
| /(+(#36(),#36()),*(#38(),#22())) |    0.112    | 0.0762608526359 |
|  /(sqrt(#22()),+(#38(),#22()))   |    0.112    | 0.0762656950007 |
|   /(log(#36()),*(#38(),#22()))   |    0.112    | 0.0763345342389 |
|    /(+(1(),#20()),exp(#38()))    |    0.104    | 0.0764219742004 |
|    /(+(1(),#36()),exp(#38()))    |    0.104    | 0.0765715032842 |
|   /(log(#20()),*(#38(),#38()))   |    0.104    | 0.0765887123237 |
|   /(/(#36(),#36()),exp(#22()))   |     0.12    |  0.07661233802  |
|   +(/(1(),#38()),/(1(),#22()))   |    0.112    | 0.0766905749349 |
|   /(/(#20(),#22()),exp(#36()))   |    0.096    | 0.0767452952656 |
|  +(*(#36(),#22()),/(1(),#38()))  |    0.112    |  0.077005261965 |
|   /(exp(#22()),+(#38(),#22()))   |    0.112    | 0.0770442587818 |
|  /(+(1(),#20()),+(#36(),#22()))  |     0.12    | 0.0770567284711 |
|    /(/(1(),#20()),exp(#38()))    |    0.128    | 0.0772201757349 |
|  /(sqrt(#36()),*(#38(),#22()))   |     0.12    | 0.0772349226845 |
|    /(exp(1()),*(#38(),#22()))    |    0.128    | 0.0772590734084 |
|  /(sqrt(#36()),+(#20(),#22()))   |    0.128    |  0.07729448538  |
|    /(exp(1()),+(#36(),#38()))    |     0.12    | 0.0775757709919 |
|   +(/(1(),#36()),/(1(),#38()))   |    0.112    | 0.0777623985128 |
| /(/(#38(),#38()),+(#36(),#22())) |    0.128    | 0.0777781159292 |
|   /(/(#36(),#38()),log(#20()))   |    0.112    | 0.0777838257462 |
|  /(sqrt(#38()),*(#38(),#22()))   |    0.128    | 0.0780376371896 |
| /(+(#36(),#36()),*(#38(),#38())) |    0.104    | 0.0781757004269 |
| /(+(#20(),#38()),*(#38(),#22())) |     0.12    | 0.0783224636789 |
| /(/(#22(),#22()),+(#36(),#22())) |     0.12    | 0.0784202111107 |
| /(/(#36(),#36()),+(#36(),#38())) |     0.12    | 0.0784588473835 |
| /(+(#36(),#22()),*(#38(),#22())) |    0.128    | 0.0785876947562 |
|    *(exp(#36()),/(1(),#38()))    |     0.12    | 0.0786860521107 |
| /(/(#20(),#38()),*(#38(),#22())) |    0.128    | 0.0788566197908 |
|  /(/(#36(),#22()),sqrt(#38()))   |    0.104    | 0.0790084595111 |
|  /(/(1(),#36()),+(#38(),#38()))  |     0.12    | 0.0792374111647 |
| /(/(#20(),#36()),+(#38(),#22())) |     0.12    | 0.0793631926223 |
|  +(/(1(),#20()),/(#36(),#38()))  |     0.12    | 0.0794258212328 |
|   /(exp(#22()),+(#38(),#38()))   |     0.12    | 0.0796321176569 |
|   +(sqrt(#22()),/(1(),#38()))    |     0.12    | 0.0797685862566 |
| /(+(#36(),#20()),+(#36(),#22())) |    0.112    | 0.0797811667414 |
|   *(sqrt(#20()),/(1(),#22()))    |    0.104    | 0.0798663397858 |
|  +(/(1(),#38()),/(#38(),#22()))  |     0.12    | 0.0800569975911 |
|   /(log(#36()),+(#20(),#38()))   |    0.104    | 0.0800976739406 |
|    /(sqrt(#20()),log(#22()))     |    0.104    | 0.0801258610462 |
| /(+(#36(),#20()),*(#38(),#38())) |    0.112    | 0.0802146562404 |
|   +(+(1(),#22()),/(1(),#38()))   |     0.12    | 0.0805471500378 |
|   /(log(#20()),*(#22(),#22()))   |    0.096    |  0.080591862769 |
| /(/(#36(),#36()),+(#38(),#22())) |     0.12    | 0.0806124225502 |
|  +(/(1(),#22()),/(#20(),#38()))  |    0.112    | 0.0806945374606 |
|    /(+(1(),#22()),exp(#38()))    |    0.112    | 0.0807078685046 |
|    /(exp(1()),/(#38(),#36()))    |    0.104    | 0.0808608901131 |
| +(/(#36(),#38()),/(#20(),#38())) |    0.112    | 0.0809973587128 |
| /(+(#20(),#20()),*(#20(),#38())) |     0.12    | 0.0810457357919 |
|  /(sqrt(#36()),*(#38(),#38()))   |    0.128    | 0.0811056409119 |
|   +(+(1(),#36()),/(1(),#38()))   |     0.12    | 0.0811502484024 |
